country,region,region_code,start_date,end_date,year,week,population,total_deaths,covid_deaths,expected_deaths,excess_deaths,non_covid_deaths,timestamp
France,France,0,2020-01-01,2020-01-07,2020,1,64639133,12883,0,13441,-558,12883,2020-06-13T19:08:44Z
France,France,0,2020-01-08,2020-01-14,2020,2,64639133,12860,0,13474,-614,12860,2020-06-13T19:08:44Z
France,France,0,2020-01-15,2020-01-21,2020,3,64639133,12326,0,13081.2,-755.200000000001,12326,2020-06-13T19:08:44Z
France,France,0,2020-01-22,2020-01-28,2020,4,64639133,12309,0,13077.4,-768.4,12309,2020-06-13T19:08:44Z
France,France,0,2020-01-29,2020-02-04,2020,5,64639133,12440,0,13098,-658,12440,2020-06-13T19:08:44Z
France,France,0,2020-02-05,2020-02-11,2020,6,64639133,12138,0,13107.8,-969.799999999999,12138,2020-06-13T19:08:44Z
France,France,0,2020-02-12,2020-02-18,2020,7,64639133,12132,1,13026.4,-894.4,12131,2020-06-13T19:08:44Z
France,France,0,2020-02-19,2020-02-25,2020,8,64639133,11513,0,12780.6,-1267.6,11513,2020-06-13T19:08:44Z
France,France,0,2020-02-26,2020-03-03,2020,9,64639133,12025,3,12748.4,-723.4,12022,2020-06-13T19:08:44Z
France,France,0,2020-03-04,2020-03-10,2020,10,64639133,12204,29,12477.4,-273.4,12175,2020-06-13T19:08:44Z
France,France,0,2020-03-11,2020-03-17,2020,11,64639133,12898,142,11897.8,1000.2,12756,2020-06-13T19:08:44Z
France,France,0,2020-03-18,2020-03-24,2020,12,64639133,14179,925,11718.6,2460.4,13254,2020-06-13T19:08:44Z
France,France,0,2020-03-25,2020-03-31,2020,13,64639133,17213,2423,11484.8,5728.2,14790,2020-06-13T19:08:44Z
France,France,0,2020-04-01,2020-04-07,2020,14,64639133,18698,6805,11291.8,7406.2,11893,2020-06-13T19:08:44Z
France,France,0,2020-04-08,2020-04-14,2020,15,64639133,16811,5401,11132.8,5678.2,11410,2020-06-13T19:08:44Z
France,France,0,2020-04-15,2020-04-21,2020,16,64639133,14448,5067,10964.6,3483.4,9381,2020-06-13T19:08:44Z
France,France,0,2020-04-22,2020-04-28,2020,17,64639133,12339,2864,10772.2,1566.8,9475,2020-06-13T19:08:44Z
France,France,0,2020-04-29,2020-05-05,2020,18,64639133,11013,1871,10733.2,279.799999999999,9142,2020-06-13T19:08:44Z
France,France,0,2020-05-06,2020-05-12,2020,19,64639133,10659,1460,10577.4,81.6000000000004,9199,2020-06-13T19:08:44Z
France,France,0,2020-05-13,2020-05-19,2020,20,64639133,10735,1031,10404.4,330.6,9704,2020-06-13T19:08:44Z
France,France,0,2020-05-20,2020-05-26,2020,21,64639133,10554,508,10432.6,121.4,10046,2020-06-13T19:08:44Z
Spain,Spain,0,2020-01-01,2020-01-07,2020,1,46733038,8393,0,9019.25,-626.25,8393,2020-06-13T19:08:44Z
Spain,Spain,0,2020-01-08,2020-01-14,2020,2,46733038,9186,0,9227,-41,9186,2020-06-13T19:08:44Z
Spain,Spain,0,2020-01-15,2020-01-21,2020,3,46733038,9450,0,9277.5,172.5,9450,2020-06-13T19:08:44Z
Spain,Spain,0,2020-01-22,2020-01-28,2020,4,46733038,9468,0,9193.5,274.5,9468,2020-06-13T19:08:44Z
Spain,Spain,0,2020-01-29,2020-02-04,2020,5,46733038,9375,0,9099.25,275.75,9375,2020-06-13T19:08:44Z
Spain,Spain,0,2020-02-05,2020-02-11,2020,6,46733038,8569,0,9127.5,-558.5,8569,2020-06-13T19:08:44Z
Spain,Spain,0,2020-02-12,2020-02-18,2020,7,46733038,8245,0,8984.5,-739.5,8245,2020-06-13T19:08:44Z
Spain,Spain,0,2020-02-19,2020-02-25,2020,8,46733038,7960,0,8675.5,-715.5,7960,2020-06-13T19:08:44Z
Spain,Spain,0,2020-02-26,2020-03-03,2020,9,46733038,7977,0,8536,-559,7977,2020-06-13T19:08:44Z
Spain,Spain,0,2020-03-04,2020-03-10,2020,10,46733038,8131,35,8461,-330,8096,2020-06-13T19:08:44Z
Spain,Spain,0,2020-03-11,2020-03-17,2020,11,46733038,9582,462,8203,1379,9120,2020-06-13T19:08:44Z
Spain,Spain,0,2020-03-18,2020-03-24,2020,12,46733038,14083,2214,8083.25,5999.75,11869,2020-06-13T19:08:44Z
Spain,Spain,0,2020-03-25,2020-03-31,2020,13,46733038,19346,5033,7940.75,11405.25,14313,2020-06-13T19:08:44Z
Spain,Spain,0,2020-04-01,2020-04-07,2020,14,46733038,18379,5480,7802,10577,12899,2020-06-13T19:08:44Z
Spain,Spain,0,2020-04-08,2020-04-14,2020,15,46733038,14730,4376,7732.5,6997.5,10354,2020-06-13T19:08:44Z
Spain,Spain,0,2020-04-15,2020-04-21,2020,16,46733038,11561,3683,7542,4019,7878,2020-06-13T19:08:44Z
Spain,Spain,0,2020-04-22,2020-04-28,2020,17,46733038,9297,2530,7423.5,1873.5,6767,2020-06-13T19:08:44Z
Spain,Spain,0,2020-04-29,2020-05-05,2020,18,46733038,8358,1797,7335.5,1022.5,6561,2020-06-13T19:08:44Z
Spain,Spain,0,2020-05-06,2020-05-12,2020,19,46733038,7639,1299,7363.5,275.5,6340,2020-06-13T19:08:44Z
Spain,Spain,0,2020-05-13,2020-05-19,2020,20,46733038,7092,884,7253.5,-161.5,6208,2020-06-13T19:08:44Z
Spain,Spain,0,2020-05-20,2020-05-26,2020,21,46733038,7516,959,7235.25,280.75,6557,2020-06-13T19:08:44Z
Spain,Spain,0,2020-05-27,2020-06-02,2020,22,46733038,7356,NA,7170.5,185.5,NA,2020-06-13T19:08:44Z
Britain,Britain,NA,2020-01-04,2020-01-10,2020,1,66435550,16020,0,15936,84,16020,2020-06-13T19:08:44Z
Britain,Britain,NA,2020-01-11,2020-01-17,2020,2,66435550,14723,0,15048.6,-325.6,14723,2020-06-13T19:08:44Z
Britain,Britain,NA,2020-01-18,2020-01-24,2020,3,66435550,13429,0,14519,-1090,13429,2020-06-13T19:08:44Z
Britain,Britain,NA,2020-01-25,2020-01-31,2020,4,66435550,13123,0,13917.6,-794.6,13123,2020-06-13T19:08:44Z
Britain,Britain,NA,2020-02-01,2020-02-07,2020,5,66435550,12534,0,13476.2,-942.200000000001,12534,2020-06-13T19:08:44Z
Britain,Britain,NA,2020-02-08,2020-02-14,2020,6,66435550,12412,0,13335,-923,12412,2020-06-13T19:08:44Z
Britain,Britain,NA,2020-02-15,2020-02-21,2020,7,66435550,12300,0,13017.4,-717.4,12300,2020-06-13T19:08:44Z
Britain,Britain,NA,2020-02-22,2020-02-28,2020,8,66435550,12334,0,12679.8,-345.799999999999,12334,2020-06-13T19:08:44Z
Britain,Britain,NA,2020-02-29,2020-03-06,2020,9,66435550,12414,0,13138,-724,12414,2020-06-13T19:08:44Z
Britain,Britain,NA,2020-03-07,2020-03-13,2020,10,66435550,12499,5,12686.8,-187.799999999999,12494,2020-06-13T19:08:44Z
Britain,Britain,NA,2020-03-14,2020-03-20,2020,11,66435550,12112,114,12319,-207,11998,2020-06-13T19:08:44Z
Britain,Britain,NA,2020-03-21,2020-03-27,2020,12,66435550,12507,610,11394.2,1112.8,11897,2020-06-13T19:08:44Z
Britain,Britain,NA,2020-03-28,2020-04-03,2020,13,66435550,18565,3812,11442.8,7122.2,14753,2020-06-13T19:08:44Z
Britain,Britain,NA,2020-04-04,2020-04-10,2020,14,66435550,20929,6899,11949.8,8979.2,14030,2020-06-13T19:08:44Z
Britain,Britain,NA,2020-04-11,2020-04-17,2020,15,66435550,24691,9509,11959.6,12731.4,15182,2020-06-13T19:08:44Z
Britain,Britain,NA,2020-04-18,2020-04-24,2020,16,66435550,24303,9024,11944.8,12358.2,15279,2020-06-13T19:08:44Z
Britain,Britain,NA,2020-04-25,2020-05-01,2020,17,66435550,20059,6685,11595.4,8463.6,13374,2020-06-13T19:08:44Z
Britain,Britain,NA,2020-05-02,2020-05-08,2020,18,66435550,14428,4429,10586.4,3841.6,9999,2020-06-13T19:08:44Z
Britain,Britain,NA,2020-05-09,2020-05-15,2020,19,66435550,16390,4220,11686.4,4703.6,12170,2020-06-13T19:08:44Z
Britain,Britain,NA,2020-05-16,2020-05-22,2020,20,66435550,13839,2872,11335.6,2503.4,10967,2020-06-13T19:08:44Z
Britain,Britain,NA,2020-05-23,2020-05-29,2020,21,66435550,11268,2002,9811.4,1456.6,9266,2020-06-13T19:08:44Z
Netherlands,Netherlands,0,2020-01-06,2020-01-12,2020,1,17414806,3364,0,3355,9,3364,2020-06-13T19:08:44Z
Netherlands,Netherlands,0,2020-01-13,2020-01-19,2020,2,17414806,3153,0,3319.6,-166.6,3153,2020-06-13T19:08:44Z
Netherlands,Netherlands,0,2020-01-20,2020-01-26,2020,3,17414806,3042,0,3288.8,-246.8,3042,2020-06-13T19:08:44Z
Netherlands,Netherlands,0,2020-01-27,2020-02-02,2020,4,17414806,3160,0,3322.8,-162.8,3160,2020-06-13T19:08:44Z
Netherlands,Netherlands,0,2020-02-03,2020-02-09,2020,5,17414806,3192,0,3307.4,-115.4,3192,2020-06-13T19:08:44Z
Netherlands,Netherlands,0,2020-02-10,2020-02-16,2020,6,17414806,3198,0,3311.6,-113.6,3198,2020-06-13T19:08:44Z
Netherlands,Netherlands,0,2020-02-17,2020-02-23,2020,7,17414806,2957,0,3341.4,-384.4,2957,2020-06-13T19:08:44Z
Netherlands,Netherlands,0,2020-02-24,2020-03-01,2020,8,17414806,3093,0,3322.2,-229.2,3093,2020-06-13T19:08:44Z
Netherlands,Netherlands,0,2020-03-02,2020-03-08,2020,9,17414806,3098,3,3333.4,-235.4,3095,2020-06-13T19:08:44Z
Netherlands,Netherlands,0,2020-03-09,2020-03-15,2020,10,17414806,3215,17,3322,-107,3198,2020-06-13T19:08:44Z
Netherlands,Netherlands,0,2020-03-16,2020-03-22,2020,11,17414806,3609,159,3146.4,462.6,3450,2020-06-13T19:08:44Z
Netherlands,Netherlands,0,2020-03-23,2020-03-29,2020,12,17414806,4452,592,3066.6,1385.4,3860,2020-06-13T19:08:44Z
Netherlands,Netherlands,0,2020-03-30,2020-04-05,2020,13,17414806,5080,995,2970.2,2109.8,4085,2020-06-13T19:08:44Z
Netherlands,Netherlands,0,2020-04-06,2020-04-12,2020,14,17414806,4973,971,2920.4,2052.6,4002,2020-06-13T19:08:44Z
Netherlands,Netherlands,0,2020-04-13,2020-04-19,2020,15,17414806,4294,947,2874,1420,3347,2020-06-13T19:08:44Z
Netherlands,Netherlands,0,2020-04-20,2020-04-26,2020,16,17414806,3898,791,2802,1096,3107,2020-06-13T19:08:44Z
Netherlands,Netherlands,0,2020-04-27,2020-05-03,2020,17,17414806,3371,581,2732.6,638.4,2790,2020-06-13T19:08:44Z
Netherlands,Netherlands,0,2020-05-04,2020-05-10,2020,18,17414806,2971,384,2736,235,2587,2020-06-13T19:08:44Z
Netherlands,Netherlands,0,2020-05-11,2020-05-17,2020,19,17414806,2760,240,2787.4,-27.4000000000001,2520,2020-06-13T19:08:44Z
Netherlands,Netherlands,0,2020-05-18,2020-05-24,2020,20,17414806,2751,142,2703.4,47.5999999999999,2609,2020-06-13T19:08:44Z
Netherlands,Netherlands,0,2020-05-25,2020-05-31,2020,21,17414806,2695,134,2710.2,-15.1999999999998,2561,2020-06-13T19:08:44Z
United States,New York City,NA,2019-12-29,2020-01-04,2020,1,8398748,1033,0,1215.2,-182.2,1033,2020-06-13T19:08:44Z
United States,New York City,NA,2020-01-05,2020-01-11,2020,2,8398748,1087,0,1170,-83,1087,2020-06-13T19:08:44Z
United States,New York City,NA,2020-01-12,2020-01-18,2020,3,8398748,1130,0,1152.2,-22.2,1130,2020-06-13T19:08:44Z
United States,New York City,NA,2020-01-19,2020-01-25,2020,4,8398748,1164,0,1175,-11,1164,2020-06-13T19:08:44Z
United States,New York City,NA,2020-01-26,2020-02-01,2020,5,8398748,1146,0,1131.6,14.4000000000001,1146,2020-06-13T19:08:44Z
United States,New York City,NA,2020-02-02,2020-02-08,2020,6,8398748,1140,0,1180.2,-40.2,1140,2020-06-13T19:08:44Z
United States,New York City,NA,2020-02-09,2020-02-15,2020,7,8398748,1121,0,1127.2,-6.20000000000005,1121,2020-06-13T19:08:44Z
United States,New York City,NA,2020-02-16,2020-02-22,2020,8,8398748,1057,0,1106,-49,1057,2020-06-13T19:08:44Z
United States,New York City,NA,2020-02-23,2020-02-29,2020,9,8398748,1099,0,1097,2,1099,2020-06-13T19:08:44Z
United States,New York City,NA,2020-03-01,2020-03-07,2020,10,8398748,1088,0,1081,7,1088,2020-06-13T19:08:44Z
United States,New York City,NA,2020-03-08,2020-03-14,2020,11,8398748,1129,4,1088,41,1125,2020-06-13T19:08:44Z
United States,New York City,NA,2020-03-15,2020-03-21,2020,12,8398748,1392,175,1042.8,349.2,1217,2020-06-13T19:08:44Z
United States,New York City,NA,2020-03-22,2020-03-28,2020,13,8398748,2768,1195,1038.4,1729.6,1573,2020-06-13T19:08:44Z
United States,New York City,NA,2020-03-29,2020-04-04,2020,14,8398748,6141,3752,1038,5103,2389,2020-06-13T19:08:44Z
United States,New York City,NA,2020-04-05,2020-04-11,2020,15,8398748,7861,5227,1058.4,6802.6,2634,2020-06-13T19:08:44Z
United States,New York City,NA,2020-04-12,2020-04-18,2020,16,8398748,5871,4130,1012.2,4858.8,1741,2020-06-13T19:08:44Z
United States,New York City,NA,2020-04-19,2020-04-25,2020,17,8398748,3907,2729,990,2917,1178,2020-06-13T19:08:44Z
United States,New York City,NA,2020-04-26,2020-05-02,2020,18,8398748,2550,1807,983.4,1566.6,743,2020-06-13T19:08:44Z
United States,New York City,NA,2020-05-03,2020-05-09,2020,19,8398748,2087,1111,987,1100,976,2020-06-13T19:08:44Z
United States,New York City,NA,2020-05-10,2020-05-16,2020,20,8398748,1603,673,989,614,930,2020-06-13T19:08:44Z
United States,New York City,NA,2020-05-17,2020-05-23,2020,21,8398748,1301,472,1009.2,291.8,829,2020-06-13T19:08:44Z
Italy,Italy,0,2020-01-01,2020-01-07,2020,1,55414469,12748,0,14400.6,-1652.6,12748,2020-06-13T19:08:44Z
Italy,Italy,0,2020-01-08,2020-01-14,2020,2,55414469,12881,0,14530.6,-1649.6,12881,2020-06-13T19:08:44Z
Italy,Italy,0,2020-01-15,2020-01-21,2020,3,55414469,12692,0,14163.2,-1471.2,12692,2020-06-13T19:08:44Z
Italy,Italy,0,2020-01-22,2020-01-28,2020,4,55414469,12990,0,13827,-837,12990,2020-06-13T19:08:44Z
Italy,Italy,0,2020-01-29,2020-02-04,2020,5,55414469,12516,0,13776.4,-1260.4,12516,2020-06-13T19:08:44Z
Italy,Italy,0,2020-02-05,2020-02-11,2020,6,55414469,12271,0,13245.2,-974.200000000001,12271,2020-06-13T19:08:44Z
Italy,Italy,0,2020-02-12,2020-02-18,2020,7,55414469,12310,0,13106.2,-796.200000000001,12310,2020-06-13T19:08:44Z
Italy,Italy,0,2020-02-19,2020-02-25,2020,8,55414469,12248,10,12738.8,-490.799999999999,12238,2020-06-13T19:08:44Z
Italy,Italy,0,2020-02-26,2020-03-03,2020,9,55414469,12447,69,12744.2,-297.200000000001,12378,2020-06-13T19:08:44Z
Italy,Italy,0,2020-03-04,2020-03-10,2020,10,55414469,14145,552,12399.4,1745.6,13593,2020-06-13T19:08:44Z
Italy,Italy,0,2020-03-11,2020-03-17,2020,11,55414469,17567,1857,12092.8,5474.2,15710,2020-06-13T19:08:44Z
Italy,Italy,0,2020-03-18,2020-03-24,2020,12,55414469,21095,4238,11808.4,9286.6,16857,2020-06-13T19:08:44Z
Italy,Italy,0,2020-03-25,2020-03-31,2020,13,55414469,20957,5462,11515.4,9441.6,15495,2020-06-13T19:08:44Z
Italy,Italy,0,2020-04-01,2020-04-07,2020,14,55414469,17899,4521,11426,6473,13378,2020-06-13T19:08:44Z
Italy,Italy,0,2020-04-08,2020-04-14,2020,15,55414469,16310,3834,11281,5029,12476,2020-06-13T19:08:44Z
Italy,Italy,0,2020-04-15,2020-04-21,2020,16,55414469,13939,3478,10982,2957,10461,2020-06-13T19:08:44Z
Italy,Italy,0,2020-04-22,2020-04-28,2020,17,55414469,12178,2654,10855.2,1322.8,9524,2020-06-13T19:08:44Z
Belgium,Belgium,0,2020-02-24,2020-03-01,2020,8,11431406,2233,0,2338,-105,2233,2020-06-13T19:08:44Z
Belgium,Belgium,0,2020-03-02,2020-03-08,2020,9,11431406,2201,0,2323,-122,2201,2020-06-13T19:08:44Z
Belgium,Belgium,0,2020-03-09,2020-03-15,2020,10,11431406,2227,0,2302,-75,2227,2020-06-13T19:08:44Z
Belgium,Belgium,0,2020-03-16,2020-03-22,2020,11,11431406,2549,18,2275,274,2531,2020-06-13T19:08:44Z
Belgium,Belgium,0,2020-03-23,2020-03-29,2020,12,11431406,3187,185,2249,938,3002,2020-06-13T19:08:44Z
Belgium,Belgium,0,2020-03-30,2020-04-05,2020,13,11431406,4023,745,2218,1805,3278,2020-06-13T19:08:44Z
Belgium,Belgium,0,2020-04-06,2020-04-12,2020,14,11431406,4277,1547,2189,2088,2730,2020-06-13T19:08:44Z
Belgium,Belgium,0,2020-04-13,2020-04-19,2020,15,11431406,3706,2116,2159,1547,1590,2020-06-13T19:08:44Z
Belgium,Belgium,0,2020-04-20,2020-04-26,2020,16,11431406,3025,1715,2126,899,1310,2020-06-13T19:08:44Z
Belgium,Belgium,0,2020-04-27,2020-05-03,2020,17,11431406,2373,1247,2092,281,1126,2020-06-13T19:08:44Z
Belgium,Belgium,0,2020-05-04,2020-05-10,2020,18,11431406,2378,691,2059,319,1687,2020-06-13T19:08:44Z
Belgium,Belgium,0,2020-05-11,2020-05-17,2020,19,11431406,2032,546,2034,-2,1486,2020-06-13T19:08:44Z
Belgium,Belgium,0,2020-05-18,2020-05-24,2020,20,11431406,2035,310,2023,12,1725,2020-06-13T19:08:44Z
Sweden,Sweden,0,2020-01-01,2020-01-07,2020,1,10338368,1879,0,1987.6,-108.6,1879,2020-06-13T19:08:44Z
Sweden,Sweden,0,2020-01-08,2020-01-14,2020,2,10338368,1866,0,1942,-76,1866,2020-06-13T19:08:44Z
Sweden,Sweden,0,2020-01-15,2020-01-21,2020,3,10338368,1788,0,1954.2,-166.2,1788,2020-06-13T19:08:44Z
Sweden,Sweden,0,2020-01-22,2020-01-28,2020,4,10338368,1793,0,1912.6,-119.6,1793,2020-06-13T19:08:44Z
Sweden,Sweden,0,2020-01-29,2020-02-04,2020,5,10338368,1794,0,1907,-113,1794,2020-06-13T19:08:44Z
Sweden,Sweden,0,2020-02-05,2020-02-11,2020,6,10338368,1771,0,1898.8,-127.8,1771,2020-06-13T19:08:44Z
Sweden,Sweden,0,2020-02-12,2020-02-18,2020,7,10338368,1821,0,1923,-102,1821,2020-06-13T19:08:44Z
Sweden,Sweden,0,2020-02-19,2020-02-25,2020,8,10338368,1774,0,2012,-238,1774,2020-06-13T19:08:44Z
Sweden,Sweden,0,2020-02-26,2020-03-03,2020,9,10338368,1750,0,1961.8,-211.8,1750,2020-06-13T19:08:44Z
Sweden,Sweden,0,2020-03-04,2020-03-10,2020,10,10338368,1831,0,1924.6,-93.5999999999999,1831,2020-06-13T19:08:44Z
Sweden,Sweden,0,2020-03-11,2020-03-17,2020,11,10338368,1781,8,1875.4,-94.4000000000001,1773,2020-06-13T19:08:44Z
Sweden,Sweden,0,2020-03-18,2020-03-24,2020,12,10338368,1883,73,1800.2,82.8,1810,2020-06-13T19:08:44Z
Sweden,Sweden,0,2020-03-25,2020-03-31,2020,13,10338368,2101,251,1825.8,275.2,1850,2020-06-13T19:08:44Z
Sweden,Sweden,0,2020-04-01,2020-04-07,2020,14,10338368,2441,532,1818.4,622.6,1909,2020-06-13T19:08:44Z
Sweden,Sweden,0,2020-04-08,2020-04-14,2020,15,10338368,2555,667,1726.4,828.6,1888,2020-06-13T19:08:44Z
Sweden,Sweden,0,2020-04-15,2020-04-21,2020,16,10338368,2452,629,1752.4,699.6,1823,2020-06-13T19:08:44Z
Sweden,Sweden,0,2020-04-22,2020-04-28,2020,17,10338368,2258,555,1715.8,542.2,1703,2020-06-13T19:08:44Z
Sweden,Sweden,0,2020-04-29,2020-05-05,2020,18,10338368,2229,543,1649,580,1686,2020-06-13T19:08:44Z
Sweden,Sweden,0,2020-05-06,2020-05-12,2020,19,10338368,2138,478,1633.2,504.8,1660,2020-06-13T19:08:44Z
Sweden,Sweden,0,2020-05-13,2020-05-19,2020,20,10338368,1916,355,1580.4,335.6,1561,2020-06-13T19:08:44Z
Sweden,Sweden,0,2020-05-20,2020-05-26,2020,21,10338368,1769,325,1535.6,233.4,1444,2020-06-13T19:08:44Z
Sweden,Sweden,0,2020-05-27,2020-06-02,2020,22,10338368,1500,264,1582,-82,1236,2020-06-13T19:08:44Z
Turkey,Istanbul,0,2020-01-01,2020-01-07,2020,1,15519267,1699,0,1766.66666666667,-67.6666666666667,1699,2020-06-13T19:08:44Z
Turkey,Istanbul,0,2020-01-08,2020-01-14,2020,2,15519267,1777,0,1800.66666666667,-23.6666666666667,1777,2020-06-13T19:08:44Z
Turkey,Istanbul,0,2020-01-15,2020-01-21,2020,3,15519267,1826,0,1809.66666666667,16.3333333333333,1826,2020-06-13T19:08:44Z
Turkey,Istanbul,0,2020-01-22,2020-01-28,2020,4,15519267,1822,0,1795.66666666667,26.3333333333333,1822,2020-06-13T19:08:44Z
Turkey,Istanbul,0,2020-01-29,2020-02-04,2020,5,15519267,1670,0,1690.66666666667,-20.6666666666667,1670,2020-06-13T19:08:44Z
Turkey,Istanbul,0,2020-02-05,2020-02-11,2020,6,15519267,1617,0,1608.66666666667,8.33333333333326,1617,2020-06-13T19:08:44Z
Turkey,Istanbul,0,2020-02-12,2020-02-18,2020,7,15519267,1530,0,1514.66666666667,15.3333333333333,1530,2020-06-13T19:08:44Z
Turkey,Istanbul,0,2020-02-19,2020-02-25,2020,8,15519267,1468,0,1552.33333333333,-84.3333333333333,1468,2020-06-13T19:08:44Z
Turkey,Istanbul,0,2020-02-26,2020-03-03,2020,9,15519267,1500,0,1555.33333333333,-55.3333333333333,1500,2020-06-13T19:08:44Z
Turkey,Istanbul,0,2020-03-04,2020-03-10,2020,10,15519267,1447,0,1504.33333333333,-57.3333333333333,1447,2020-06-13T19:08:44Z
Turkey,Istanbul,0,2020-03-11,2020-03-17,2020,11,15519267,1546,0,1458,88,1546,2020-06-13T19:08:44Z
Turkey,Istanbul,0,2020-03-18,2020-03-24,2020,12,15519267,1768,22,1485,283,1746,2020-06-13T19:08:44Z
Turkey,Istanbul,0,2020-03-25,2020-03-31,2020,13,15519267,1888,85,1443.66666666667,444.333333333333,1803,2020-06-13T19:08:44Z
Turkey,Istanbul,0,2020-04-01,2020-04-07,2020,14,15519267,2252,255.5,1433.66666666667,818.333333333333,1996.5,2020-06-13T19:08:44Z
Turkey,Istanbul,0,2020-04-08,2020-04-14,2020,15,15519267,2244,339,1462,782,1905,2020-06-13T19:08:44Z
Turkey,Istanbul,0,2020-04-15,2020-04-21,2020,16,15519267,2031,428,1401.66666666667,629.333333333333,1603,2020-06-13T19:08:44Z
Turkey,Istanbul,0,2020-04-22,2020-04-28,2020,17,15519267,1914,366.5,1432.66666666667,481.333333333333,1547.5,2020-06-13T19:08:44Z
Turkey,Istanbul,0,2020-04-29,2020-05-05,2020,18,15519267,1772,264,1398,374,1508,2020-06-13T19:08:44Z
Turkey,Istanbul,0,2020-05-06,2020-05-12,2020,19,15519267,1691,187,1403.66666666667,287.333333333333,1504,2020-06-13T19:08:44Z
Austria,Austria,0,2020-01-27,2020-02-02,2020,4,8902600,1946,0,1814,132,1946,2020-06-13T19:08:44Z
Austria,Austria,0,2020-02-03,2020-02-09,2020,5,8902600,1677,0,1815,-138,1677,2020-06-13T19:08:44Z
Austria,Austria,0,2020-02-10,2020-02-16,2020,6,8902600,1720,0,1768,-48,1720,2020-06-13T19:08:44Z
Austria,Austria,0,2020-02-17,2020-02-23,2020,7,8902600,1712,0,1773,-61,1712,2020-06-13T19:08:44Z
Austria,Austria,0,2020-02-24,2020-03-01,2020,8,8902600,1765,0,1799,-34,1765,2020-06-13T19:08:44Z
Austria,Austria,0,2020-03-02,2020-03-08,2020,9,8902600,1731,0,1731,0,1731,2020-06-13T19:08:44Z
Austria,Austria,0,2020-03-09,2020-03-15,2020,10,8902600,1707,1,1699,8,1706,2020-06-13T19:08:44Z
Austria,Austria,0,2020-03-16,2020-03-22,2020,11,8902600,1826,15,1574,252,1811,2020-06-13T19:08:44Z
Austria,Austria,0,2020-03-23,2020-03-29,2020,12,8902600,1749,70,1626,123,1679,2020-06-13T19:08:44Z
Austria,Austria,0,2020-03-30,2020-04-05,2020,13,8902600,1788,118,1581,207,1670,2020-06-13T19:08:44Z
